time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-11-8 23:41:6:918,WTSensor3(8E7876082DDC),0.119,0.076,1.114,95.581,1.404,-22.461,-161.36,1.96,136.88,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:918,WTSensor3(8E7876082DDC),0.04,0.128,1.011,101.685,11.963,-27.1,-160.35,2.14,136.65,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:918,WTSensor3(8E7876082DDC),-0.206,0.166,0.92,103.699,23.254,-28.442,-159.32,2.43,136.44,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:918,WTSensor3(8E7876082DDC),-0.114,0.26,0.657,85.266,23.438,-13.123,-158.46,2.69,136.36,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:977,WTSensor3(8E7876082DDC),0.151,0.358,0.357,51.392,-4.883,-4.028,-157.94,2.69,136.32,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:977,WTSensor3(8E7876082DDC),-0.02,0.684,-0.396,-37.109,51.392,9.216,-158.27,3.14,136.56,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:977,WTSensor3(8E7876082DDC),-0.407,1.043,-1.442,-253.784,134.46,30.762,-160.66,4.32,137.19,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:977,WTSensor3(8E7876082DDC),-0.783,0.466,-1.275,-494.995,144.531,53.65,-165.52,5.64,137.97,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:992,WTSensor3(8E7876082DDC),-0.499,-0.195,-0.573,-687.317,127.319,80.2,-172.18,6.77,138.85,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
2024-11-8 23:41:6:992,WTSensor3(8E7876082DDC),0.014,-0.729,-0.186,-807.251,14.648,72.937,179.9,7.1,139.65,46.35,-52.867,-3.292,0.35983,0.01254,0.07822,0.9296,27.8,10080.1.13,75.0
