time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery
2024-10-3 22:0:48:697,WT901BLE67(4A3DE8A6FBCE),0.817,-0.255,1.245,3.479,-4.822,-0.732,-60.9,-70.72,25.65,8.1,-20.108,63.258,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:697,WT901BLE67(4A3DE8A6FBCE),0.813,-0.263,1.242,3.784,-5.92,-1.953,-60.81,-70.72,25.58,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:697,WT901BLE67(4A3DE8A6FBCE),0.805,-0.267,1.235,4.395,-6.226,-2.93,-60.72,-70.72,25.52,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:697,WT901BLE67(4A3DE8A6FBCE),0.8,-0.265,1.235,4.7,-6.226,-3.601,-60.61,-70.74,25.44,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:725,WT901BLE67(4A3DE8A6FBCE),0.791,-0.268,1.229,4.639,-6.042,-3.723,-60.49,-70.76,25.36,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:725,WT901BLE67(4A3DE8A6FBCE),0.787,-0.269,1.223,4.456,-5.554,-3.601,-60.37,-70.77,25.27,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:725,WT901BLE67(4A3DE8A6FBCE),0.782,-0.269,1.218,4.211,-5.005,-3.479,-60.23,-70.77,25.17,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:725,WT901BLE67(4A3DE8A6FBCE),0.776,-0.267,1.214,3.662,-4.395,-3.113,-60.1,-70.78,25.05,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:755,WT901BLE67(4A3DE8A6FBCE),0.772,-0.265,1.21,2.747,-4.028,-2.625,-59.96,-70.77,24.93,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:756,WT901BLE67(4A3DE8A6FBCE),0.771,-0.265,1.204,1.892,-3.418,-2.075,-59.82,-70.76,24.8,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:756,WT901BLE67(4A3DE8A6FBCE),0.774,-0.267,1.198,1.282,-2.502,-1.404,-59.68,-70.74,24.66,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:756,WT901BLE67(4A3DE8A6FBCE),0.775,-0.266,1.197,0.488,-1.587,-0.549,-59.53,-70.7,24.51,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:815,WT901BLE67(4A3DE8A6FBCE),0.779,-0.262,1.196,-0.61,-0.854,0.366,-59.4,-70.65,24.35,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:815,WT901BLE67(4A3DE8A6FBCE),0.788,-0.262,1.196,-1.953,0.366,1.16,-59.25,-70.59,24.18,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:815,WT901BLE67(4A3DE8A6FBCE),0.79,-0.261,1.198,-3.479,1.282,1.282,-59.1,-70.53,23.98,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:815,WT901BLE67(4A3DE8A6FBCE),0.792,-0.264,1.206,-4.7,1.648,1.526,-58.96,-70.46,23.77,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
2024-10-3 22:0:48:845,WT901BLE67(4A3DE8A6FBCE),0.791,-0.265,1.211,-5.188,2.686,1.953,-58.82,-70.37,23.56,11.275,-19.45,64.125,-0.73831,0.29214,0.59268,0.1347,33.0,10080.1.7,10.0
