time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery
2024-10-3 22:3:21:242,WT901BLE67(4A3DE8A6FBCE),0.184,0.021,0.98,-1.892,-1.282,-0.244,92.58,-4.5,-141.33,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:242,WT901BLE67(4A3DE8A6FBCE),0.181,0.019,0.978,-1.953,-1.648,-0.122,92.39,-4.52,-141.36,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:242,WT901BLE67(4A3DE8A6FBCE),0.18,0.017,0.979,-1.953,-1.587,-0.793,92.2,-4.52,-141.38,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:242,WT901BLE67(4A3DE8A6FBCE),0.178,0.016,0.978,-2.014,-1.404,-1.282,92.02,-4.52,-141.41,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:272,WT901BLE67(4A3DE8A6FBCE),0.174,0.018,0.977,-2.197,-1.099,-0.916,91.82,-4.53,-141.43,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:273,WT901BLE67(4A3DE8A6FBCE),0.169,0.019,0.977,-2.319,-0.977,-0.122,91.63,-4.54,-141.45,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:273,WT901BLE67(4A3DE8A6FBCE),0.169,0.021,0.978,-2.441,-0.671,0.061,91.44,-4.55,-141.48,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:273,WT901BLE67(4A3DE8A6FBCE),0.176,0.018,0.982,-2.441,-0.183,0.305,91.25,-4.56,-141.49,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:393,WT901BLE67(4A3DE8A6FBCE),0.177,0.015,0.983,-2.319,0.549,1.16,91.05,-4.59,-141.5,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:393,WT901BLE67(4A3DE8A6FBCE),0.177,0.015,0.981,-1.282,1.587,1.831,90.87,-4.62,-141.5,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:393,WT901BLE67(4A3DE8A6FBCE),0.173,0.017,0.98,0.305,2.93,0.732,90.7,-4.64,-141.48,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:393,WT901BLE67(4A3DE8A6FBCE),0.177,0.015,0.975,2.625,5.371,-0.488,90.54,-4.65,-141.45,43.083,-44.725,64.375,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.187,0.018,0.975,2.502,5.249,0.61,90.4,-4.67,-141.41,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.185,0.02,0.979,1.465,3.235,2.93,90.24,-4.71,-141.38,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.179,0.013,0.98,2.258,2.563,4.15,90.09,-4.76,-141.37,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.181,0.014,0.98,3.845,3.113,3.113,89.95,-4.81,-141.34,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.187,0.017,0.982,5.554,3.967,1.526,89.83,-4.84,-141.32,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.189,0.018,0.978,6.409,3.845,1.465,89.72,-4.86,-141.29,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.181,0.021,0.98,6.531,1.465,4.333,89.62,-4.91,-141.28,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:394,WT901BLE67(4A3DE8A6FBCE),0.178,0.022,0.975,6.348,-0.977,7.874,89.51,-4.99,-141.3,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:453,WT901BLE67(4A3DE8A6FBCE),0.181,0.021,0.977,4.456,-4.395,9.827,89.4,-5.1,-141.34,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:453,WT901BLE67(4A3DE8A6FBCE),0.188,0.017,0.988,1.099,-8.362,10.559,89.25,-5.22,-141.42,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:453,WT901BLE67(4A3DE8A6FBCE),0.18,0.027,0.988,-4.028,-13.794,12.39,89.07,-5.36,-141.56,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:453,WT901BLE67(4A3DE8A6FBCE),0.174,0.042,0.98,-10.498,-21.79,18.433,88.83,-5.54,-141.76,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:483,WT901BLE67(4A3DE8A6FBCE),0.162,0.047,0.988,-19.592,-34.973,27.71,88.52,-5.81,-142.08,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:483,WT901BLE67(4A3DE8A6FBCE),0.142,0.034,0.998,-29.541,-48.767,38.086,88.12,-6.2,-142.53,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:483,WT901BLE67(4A3DE8A6FBCE),0.147,0.03,1.016,-41.565,-64.697,43.823,87.64,-6.66,-143.13,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:483,WT901BLE67(4A3DE8A6FBCE),0.158,-0.008,1.032,-52.979,-70.618,43.762,87.04,-7.14,-143.83,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
2024-10-3 22:3:21:512,WT901BLE67(4A3DE8A6FBCE),0.146,0.032,1.044,-61.279,-73.364,40.894,86.36,-7.61,-144.54,43.85,-46.525,63.467,0.24942,0.23071,-0.71741,-0.60809,33.4,10080.1.7,10.0
