time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery
2024-10-3 22:19:39:629,WT901BLE67(919C7A43D1FF),-0.363,0.064,-0.927,0.305,0.549,2.869,177.68,20.95,-158.34,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:629,WT901BLE67(919C7A43D1FF),-0.364,0.063,-0.932,0.061,0.977,1.709,177.67,20.95,-158.36,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:629,WT901BLE67(919C7A43D1FF),-0.36,0.062,-0.934,0.183,0.549,1.282,177.66,20.94,-158.38,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:629,WT901BLE67(919C7A43D1FF),-0.355,0.061,-0.93,0.427,0.244,0.854,177.65,20.95,-158.4,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:658,WT901BLE67(919C7A43D1FF),-0.353,0.061,-0.934,0.61,0.793,0.61,177.65,20.94,-158.41,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:658,WT901BLE67(919C7A43D1FF),-0.35,0.056,-0.939,1.282,1.16,1.465,177.66,20.93,-158.42,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:659,WT901BLE67(919C7A43D1FF),-0.35,0.059,-0.939,2.075,0.854,2.197,177.67,20.93,-158.44,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:659,WT901BLE67(919C7A43D1FF),-0.354,0.058,-0.936,2.502,1.16,2.686,177.68,20.92,-158.48,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:688,WT901BLE67(919C7A43D1FF),-0.353,0.055,-0.933,2.625,1.465,3.235,177.69,20.91,-158.51,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:688,WT901BLE67(919C7A43D1FF),-0.353,0.059,-0.935,2.38,1.16,3.235,177.7,20.9,-158.55,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:688,WT901BLE67(919C7A43D1FF),-0.352,0.063,-0.935,1.892,0.427,2.38,177.7,20.9,-158.58,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:689,WT901BLE67(919C7A43D1FF),-0.352,0.063,-0.934,1.16,0.0,1.892,177.7,20.9,-158.6,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:778,WT901BLE67(919C7A43D1FF),-0.348,0.061,-0.931,0.793,0.122,1.465,177.7,20.9,-158.63,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:778,WT901BLE67(919C7A43D1FF),-0.351,0.063,-0.933,0.366,0.549,0.793,177.7,20.9,-158.64,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:778,WT901BLE67(919C7A43D1FF),-0.348,0.063,-0.934,0.061,0.122,0.0,177.7,20.9,-158.64,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:778,WT901BLE67(919C7A43D1FF),-0.34,0.063,-0.934,0.0,-0.488,-0.244,177.7,20.91,-158.64,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:779,WT901BLE67(919C7A43D1FF),-0.334,0.063,-0.935,-0.122,-0.977,-0.244,177.69,20.92,-158.64,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:779,WT901BLE67(919C7A43D1FF),-0.332,0.059,-0.931,0.244,-0.366,0.183,177.69,20.93,-158.65,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:779,WT901BLE67(919C7A43D1FF),-0.332,0.06,-0.93,1.038,0.61,1.038,177.69,20.92,-158.66,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:779,WT901BLE67(919C7A43D1FF),-0.337,0.062,-0.933,1.16,1.221,1.709,177.69,20.92,-158.68,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:811,WT901BLE67(919C7A43D1FF),-0.335,0.062,-0.93,0.671,0.916,1.892,177.69,20.91,-158.7,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:812,WT901BLE67(919C7A43D1FF),-0.339,0.061,-0.931,0.671,0.977,1.892,177.69,20.9,-158.72,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:812,WT901BLE67(919C7A43D1FF),-0.34,0.064,-0.933,0.122,0.61,2.014,177.68,20.9,-158.75,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:812,WT901BLE67(919C7A43D1FF),-0.343,0.061,-0.931,-0.427,0.0,1.648,177.67,20.89,-158.77,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:898,WT901BLE67(919C7A43D1FF),-0.345,0.057,-0.928,-0.549,0.427,1.221,177.65,20.89,-158.79,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:898,WT901BLE67(919C7A43D1FF),-0.349,0.061,-0.932,-0.732,0.488,0.854,177.64,20.89,-158.8,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
2024-10-3 22:19:39:898,WT901BLE67(919C7A43D1FF),-0.352,0.06,-0.938,-1.282,-0.183,0.916,177.62,20.89,-158.81,23.675,27.483,66.4,-0.17526,0.19058,-0.96436,-0.05377,25.9,10080.1.7,100.0
