time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-15 23:30:21:868,WTSensor3(8E7876082DDC),-0.643,-0.046,-0.692,2.686,-3.479,10.193,-2.41,36.39,-71.28,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:868,WTSensor3(8E7876082DDC),-0.623,0.018,-0.729,-0.366,-5.676,6.897,-2.47,36.44,-71.38,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:868,WTSensor3(8E7876082DDC),-0.576,0.076,-0.762,-1.16,-4.272,3.906,-2.52,36.47,-71.44,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:868,WTSensor3(8E7876082DDC),-0.532,0.127,-0.817,-3.418,-6.714,0.0,-2.57,36.54,-71.47,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:910,WTSensor3(8E7876082DDC),-0.495,0.186,-0.854,-5.432,-8.179,-0.977,-2.62,36.62,-71.47,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:910,WTSensor3(8E7876082DDC),-0.492,0.263,-0.869,-5.493,-4.333,0.122,-2.68,36.67,-71.49,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:911,WTSensor3(8E7876082DDC),-0.492,0.285,-0.854,-4.761,-4.517,3.296,-2.75,36.71,-71.54,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:911,WTSensor3(8E7876082DDC),-0.499,0.321,-0.823,-4.395,-0.977,6.104,-2.83,36.71,-71.62,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:963,WTSensor3(8E7876082DDC),-0.522,0.356,-0.749,-3.662,5.371,6.287,-2.92,36.66,-71.69,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:963,WTSensor3(8E7876082DDC),-0.553,0.41,-0.697,-5.737,10.681,6.287,-3.01,36.55,-71.75,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
2024-10-15 23:30:21:963,WTSensor3(8E7876082DDC),-0.587,0.401,-0.654,-7.202,9.888,5.92,-3.11,36.44,-71.8,14.95,-17.992,75.133,0.13083,-0.79138,0.53143,0.27213,23.5,10080.1.13,100.0
