time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-10-7 21:43:53:584,WTSensor3(8E7876082DDC),-0.926,0.618,-0.552,-22.156,65.613,16.724,-49.41,43.29,-127.66,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:584,WTSensor3(8E7876082DDC),-0.958,0.614,-0.492,-23.193,62.927,26.367,-49.3,42.71,-127.16,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:584,WTSensor3(8E7876082DDC),-0.923,0.628,-0.473,-22.4,52.307,30.701,-49.29,42.16,-126.8,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:584,WTSensor3(8E7876082DDC),-0.908,0.648,-0.454,-23.499,35.95,28.442,-49.4,41.71,-126.62,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:614,WTSensor3(8E7876082DDC),-0.911,0.671,-0.461,-24.292,15.442,24.475,-49.64,41.41,-126.62,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:614,WTSensor3(8E7876082DDC),-0.912,0.686,-0.482,-24.78,1.831,20.02,-49.97,41.23,-126.74,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:615,WTSensor3(8E7876082DDC),-0.914,0.705,-0.524,-26.855,-0.488,19.287,-50.33,41.07,-126.89,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:615,WTSensor3(8E7876082DDC),-0.923,0.725,-0.552,-30.09,5.371,25.024,-50.71,40.84,-127.01,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:666,WTSensor3(8E7876082DDC),-0.918,0.734,-0.575,-33.447,16.907,32.715,-51.08,40.48,-127.06,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:666,WTSensor3(8E7876082DDC),-0.905,0.743,-0.573,-35.522,28.809,38.574,-51.41,40,-127.02,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
2024-10-7 21:43:53:666,WTSensor3(8E7876082DDC),-0.882,0.752,-0.558,-34.973,41.992,41.26,-51.67,39.44,-126.86,21.4,-35.792,57.15,-0.11218,0.50977,-0.66693,-0.53165,29.6,10080.1.13,100
