time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(Â°/s),AsY(Â°/s),AsZ(Â°/s),AngleX(Â°),AngleY(Â°),AngleZ(Â°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(Â°C),Version(),Battery
2024-10-21 20:31:0.803,WT901BLE67(C3F20D2DC0A7),-0.102,-0.213,0.948,-0.488,-2.075,0.61,-15.44,5.8,107.94,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.804,WT901BLE67(C3F20D2DC0A7),-0.095,-0.212,0.95,-0.366,-2.747,0.122,-15.44,5.77,107.95,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.804,WT901BLE67(C3F20D2DC0A7),-0.093,-0.212,0.949,-0.122,-2.258,0.305,-15.43,5.76,107.95,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.804,WT901BLE67(C3F20D2DC0A7),-0.091,-0.209,0.944,-0.183,-1.404,0.366,-15.43,5.74,107.95,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.884,WT901BLE67(C3F20D2DC0A7),-0.083,-0.211,0.948,-0.427,-0.61,0.549,-15.42,5.73,107.96,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.089,-0.212,0.946,-0.427,-0.183,0.0,-15.42,5.73,107.95,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.095,-0.213,0.947,-0.244,0.122,-0.977,-15.42,5.73,107.94,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.097,-0.217,0.953,0.0,-0.549,-2.014,-15.42,5.73,107.92,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.108,-0.221,0.952,0.122,-0.488,-2.014,-15.42,5.72,107.9,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.107,-0.222,0.954,0.305,0.488,-0.671,-15.41,5.72,107.88,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.097,-0.222,0.952,0.305,0.427,0.427,-15.41,5.72,107.88,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
2024-10-21 20:31:0.885,WT901BLE67(C3F20D2DC0A7),-0.086,-0.214,0.949,0.61,0.305,1.038,-15.4,5.73,107.89,47.942,-6.692,-6.617,0.57803,-0.1123,-0.06824,0.8053,31.0,10080.1.7,60.0
